node_index_in_matrix_0based,index,label,network_label,label_7network,index_17network,label_17network,network_label_17network,atlas_name,network_id
132,133,RH_SomMot_18,SomMot,7Networks_RH_SomMot_18,122.0,17Networks_RH_SomMotA_10,SomMotA,4S256,
133,134,RH_SomMot_19,SomMot,7Networks_RH_SomMot_19,123.0,17Networks_RH_SomMotA_11,SomMotA,4S256,
134,135,RH_DorsAttn_Post_1,DorsAttn,7Networks_RH_DorsAttn_Post_1,131.0,17Networks_RH_DorsAttnA_TempOcc_1,DorsAttnA,4S256,
135,136,RH_DorsAttn_Post_2,DorsAttn,7Networks_RH_DorsAttn_Post_2,132.0,17Networks_RH_DorsAttnA_ParOcc_1,DorsAttnA,4S256,
136,137,RH_DorsAttn_Post_3,DorsAttn,7Networks_RH_DorsAttn_Post_3,137.0,17Networks_RH_DorsAttnB_PostC_1,DorsAttnB,4S256,
137,138,RH_DorsAttn_Post_4,DorsAttn,7Networks_RH_DorsAttn_Post_4,166.0,17Networks_RH_ContA_IPS_2,ContA,4S256,
138,139,RH_DorsAttn_Post_5,DorsAttn,7Networks_RH_DorsAttn_Post_5,138.0,17Networks_RH_DorsAttnB_PostC_2,DorsAttnB,4S256,
139,140,RH_DorsAttn_Post_6,DorsAttn,7Networks_RH_DorsAttn_Post_6,134.0,17Networks_RH_DorsAttnA_SPL_2,DorsAttnA,4S256,
140,141,RH_DorsAttn_Post_7,DorsAttn,7Networks_RH_DorsAttn_Post_7,135.0,17Networks_RH_DorsAttnA_SPL_3,DorsAttnA,4S256,
141,142,RH_DorsAttn_Post_8,DorsAttn,7Networks_RH_DorsAttn_Post_8,136.0,17Networks_RH_DorsAttnA_SPL_4,DorsAttnA,4S256,
142,143,RH_DorsAttn_Post_9,DorsAttn,7Networks_RH_DorsAttn_Post_9,139.0,17Networks_RH_DorsAttnB_PostC_3,DorsAttnB,4S256,
143,144,RH_DorsAttn_Post_10,DorsAttn,7Networks_RH_DorsAttn_Post_10,140.0,17Networks_RH_DorsAttnB_PostC_4,DorsAttnB,4S256,
