node_index_in_matrix_0based,index,label,network_label,label_7network,index_17network,label_17network,network_label_17network,atlas_name,network_id
36,37,LH_DorsAttn_Post_7,DorsAttn,7Networks_LH_DorsAttn_Post_7,33.0,17Networks_LH_DorsAttnA_SPL_2,DorsAttnA,4S256,
37,38,LH_DorsAttn_Post_8,DorsAttn,7Networks_LH_DorsAttn_Post_8,34.0,17Networks_LH_DorsAttnA_SPL_3,DorsAttnA,4S256,
38,39,LH_DorsAttn_Post_9,DorsAttn,7Networks_LH_DorsAttn_Post_9,73.0,17Networks_LH_ContC_pCun_2,ContC,4S256,
39,40,LH_DorsAttn_Post_10,DorsAttn,7Networks_LH_DorsAttn_Post_10,38.0,17Networks_LH_DorsAttnB_PostC_4,DorsAttnB,4S256,
40,41,LH_DorsAttn_FEF_1,DorsAttn,7Networks_LH_DorsAttn_FEF_1,39.0,17Networks_LH_DorsAttnB_FEF_1,DorsAttnB,4S256,
41,42,LH_DorsAttn_FEF_2,DorsAttn,7Networks_LH_DorsAttn_FEF_2,61.0,17Networks_LH_ContA_PFCd_1,ContA,4S256,
42,43,LH_DorsAttn_PrCv_1,DorsAttn,7Networks_LH_DorsAttn_PrCv_1,64.0,17Networks_LH_ContA_PFCl_2,ContA,4S256,
43,44,LH_SalVentAttn_ParOper_1,SalVentAttn,7Networks_LH_SalVentAttn_ParOper_1,25.0,17Networks_LH_SomMotB_Aud_3,SomMotB,4S256,
44,45,LH_SalVentAttn_ParOper_2,SalVentAttn,7Networks_LH_SalVentAttn_ParOper_2,40.0,17Networks_LH_SalVentAttnA_ParOper_1,SalVentAttnA,4S256,
45,46,LH_SalVentAttn_ParOper_3,SalVentAttn,7Networks_LH_SalVentAttn_ParOper_3,47.0,17Networks_LH_SalVentAttnB_IPL_1,SalVentAttnB,4S256,
46,47,LH_SalVentAttn_FrOperIns_1,SalVentAttn,7Networks_LH_SalVentAttn_FrOperIns_1,41.0,17Networks_LH_SalVentAttnA_Ins_1,SalVentAttnA,4S256,
47,48,LH_SalVentAttn_FrOperIns_2,SalVentAttn,7Networks_LH_SalVentAttn_FrOperIns_2,49.0,17Networks_LH_SalVentAttnB_Ins_1,SalVentAttnB,4S256,
48,49,LH_SalVentAttn_FrOperIns_3,SalVentAttn,7Networks_LH_SalVentAttn_FrOperIns_3,42.0,17Networks_LH_SalVentAttnA_FrOper_1,SalVentAttnA,4S256,
49,50,LH_SalVentAttn_FrOperIns_4,SalVentAttn,7Networks_LH_SalVentAttn_FrOperIns_4,43.0,17Networks_LH_SalVentAttnA_FrOper_2,SalVentAttnA,4S256,
50,51,LH_SalVentAttn_PFCl_1,SalVentAttn,7Networks_LH_SalVentAttn_PFCl_1,48.0,17Networks_LH_SalVentAttnB_PFCl_1,SalVentAttnB,4S256,
51,52,LH_SalVentAttn_Med_1,SalVentAttn,7Networks_LH_SalVentAttn_Med_1,45.0,17Networks_LH_SalVentAttnA_FrMed_1,SalVentAttnA,4S256,
52,53,LH_SalVentAttn_Med_2,SalVentAttn,7Networks_LH_SalVentAttn_Med_2,44.0,17Networks_LH_SalVentAttnA_ParMed_1,SalVentAttnA,4S256,
53,54,LH_SalVentAttn_Med_3,SalVentAttn,7Networks_LH_SalVentAttn_Med_3,46.0,17Networks_LH_SalVentAttnA_FrMed_2,SalVentAttnA,4S256,
54,55,LH_Limbic_OFC_1,Limbic,7Networks_LH_Limbic_OFC_1,51.0,17Networks_LH_LimbicB_OFC_1,LimbicB,4S256,
55,56,LH_Limbic_OFC_2,Limbic,7Networks_LH_Limbic_OFC_2,52.0,17Networks_LH_LimbicB_OFC_2,LimbicB,4S256,
56,57,LH_Limbic_TempPole_1,Limbic,7Networks_LH_Limbic_TempPole_1,53.0,17Networks_LH_LimbicA_TempPole_1,LimbicA,4S256,
57,58,LH_Limbic_TempPole_2,Limbic,7Networks_LH_Limbic_TempPole_2,54.0,17Networks_LH_LimbicA_TempPole_2,LimbicA,4S256,
58,59,LH_Limbic_TempPole_3,Limbic,7Networks_LH_Limbic_TempPole_3,55.0,17Networks_LH_LimbicA_TempPole_3,LimbicA,4S256,
59,60,LH_Limbic_TempPole_4,Limbic,7Networks_LH_Limbic_TempPole_4,56.0,17Networks_LH_LimbicA_TempPole_4,LimbicA,4S256,
60,61,LH_Cont_Par_1,Cont,7Networks_LH_Cont_Par_1,68.0,17Networks_LH_ContB_IPL_1,ContB,4S256,
61,62,LH_Cont_Par_2,Cont,7Networks_LH_Cont_Par_2,58.0,17Networks_LH_ContA_IPS_1,ContA,4S256,
62,63,LH_Cont_Par_3,Cont,7Networks_LH_Cont_Par_3,59.0,17Networks_LH_ContA_IPS_2,ContA,4S256,
63,64,LH_Cont_Temp_1,Cont,7Networks_LH_Cont_Temp_1,67.0,17Networks_LH_ContB_Temp_1,ContB,4S256,
64,65,LH_Cont_OFC_1,Cont,7Networks_LH_Cont_OFC_1,93.0,17Networks_LH_DefaultB_PFCv_2,DefaultB,4S256,
65,66,LH_Cont_PFCl_1,Cont,7Networks_LH_Cont_PFCl_1,70.0,17Networks_LH_ContB_PFClv_1,ContB,4S256,
66,67,LH_Cont_PFCl_2,Cont,7Networks_LH_Cont_PFCl_2,71.0,17Networks_LH_ContB_PFClv_2,ContB,4S256,
67,68,LH_Cont_PFCl_3,Cont,7Networks_LH_Cont_PFCl_3,62.0,17Networks_LH_ContA_PFClv_1,ContA,4S256,
68,69,LH_Cont_PFCl_4,Cont,7Networks_LH_Cont_PFCl_4,63.0,17Networks_LH_ContA_PFCl_1,ContA,4S256,
69,70,LH_Cont_PFCl_5,Cont,7Networks_LH_Cont_PFCl_5,65.0,17Networks_LH_ContA_PFCl_3,ContA,4S256,
70,71,LH_Cont_pCun_1,Cont,7Networks_LH_Cont_pCun_1,72.0,17Networks_LH_ContC_pCun_1,ContC,4S256,
71,72,LH_Cont_Cing_1,Cont,7Networks_LH_Cont_Cing_1,74.0,17Networks_LH_ContC_Cingp_1,ContC,4S256,
72,73,LH_Cont_Cing_2,Cont,7Networks_LH_Cont_Cing_2,66.0,17Networks_LH_ContA_Cingm_1,ContA,4S256,
73,74,LH_Default_Temp_1,Default,7Networks_LH_Default_Temp_1,83.0,17Networks_LH_DefaultB_Temp_1,DefaultB,4S256,
74,75,LH_Default_Temp_2,Default,7Networks_LH_Default_Temp_2,84.0,17Networks_LH_DefaultB_Temp_2,DefaultB,4S256,
75,76,LH_Default_Temp_3,Default,7Networks_LH_Default_Temp_3,85.0,17Networks_LH_DefaultB_Temp_3,DefaultB,4S256,
76,77,LH_Default_Temp_4,Default,7Networks_LH_Default_Temp_4,86.0,17Networks_LH_DefaultB_Temp_4,DefaultB,4S256,
77,78,LH_Default_Temp_5,Default,7Networks_LH_Default_Temp_5,99.0,17Networks_LH_TempPar_1,TempPar,4S256,
78,79,LH_Default_Par_1,Default,7Networks_LH_Default_Par_1,100.0,17Networks_LH_TempPar_2,TempPar,4S256,
79,80,LH_Default_Par_2,Default,7Networks_LH_Default_Par_2,96.0,17Networks_LH_DefaultC_IPL_1,DefaultC,4S256,
80,81,LH_Default_Par_3,Default,7Networks_LH_Default_Par_3,87.0,17Networks_LH_DefaultB_IPL_1,DefaultB,4S256,
81,82,LH_Default_Par_4,Default,7Networks_LH_Default_Par_4,75.0,17Networks_LH_DefaultA_IPL_1,DefaultA,4S256,
82,83,LH_Default_PFC_1,Default,7Networks_LH_Default_PFC_1,92.0,17Networks_LH_DefaultB_PFCv_1,DefaultB,4S256,
83,84,LH_Default_PFC_2,Default,7Networks_LH_Default_PFC_2,80.0,17Networks_LH_DefaultA_PFCm_1,DefaultA,4S256,
84,85,LH_Default_PFC_3,Default,7Networks_LH_Default_PFC_3,94.0,17Networks_LH_DefaultB_PFCv_3,DefaultB,4S256,
85,86,LH_Default_PFC_4,Default,7Networks_LH_Default_PFC_4,81.0,17Networks_LH_DefaultA_PFCm_2,DefaultA,4S256,
86,87,LH_Default_PFC_5,Default,7Networks_LH_Default_PFC_5,95.0,17Networks_LH_DefaultB_PFCv_4,DefaultB,4S256,
